,economy,time,EN.ATM.CO2E.PC
689,AUT,YR2019,7.26333120118199
690,AUT,YR2020,6.63264573733546
691,AUT,YR2021,
692,AUT,YR2022,
693,AZE,YR1960,
694,AZE,YR1961,
695,AZE,YR1962,
696,AZE,YR1963,
697,AZE,YR1964,
698,AZE,YR1965,
699,AZE,YR1966,
700,AZE,YR1967,
701,AZE,YR1968,
702,AZE,YR1969,
703,AZE,YR1970,
704,AZE,YR1971,
705,AZE,YR1972,
706,AZE,YR1973,
707,AZE,YR1974,
708,AZE,YR1975,
709,AZE,YR1976,
710,AZE,YR1977,
711,AZE,YR1978,
712,AZE,YR1979,
713,AZE,YR1980,
714,AZE,YR1981,
715,AZE,YR1982,
716,AZE,YR1983,
717,AZE,YR1984,
718,AZE,YR1985,
719,AZE,YR1986,
720,AZE,YR1987,
721,AZE,YR1988,
722,AZE,YR1989,
723,AZE,YR1990,7.45396643995986
724,AZE,YR1991,7.1595725661161
725,AZE,YR1992,8.61728110755143
726,AZE,YR1993,6.41137855579869
727,AZE,YR1994,4.41191066997519
728,AZE,YR1995,4.22583394601066
729,AZE,YR1996,3.50293700888832
730,AZE,YR1997,3.37952986954996
731,AZE,YR1998,3.34771894351068
732,AZE,YR1999,3.27233096364035
733,AZE,YR2000,3.44000198792337
734,AZE,YR2001,3.25441365026137
735,AZE,YR2002,3.20334803810596
736,AZE,YR2003,3.46964452702785
737,AZE,YR2004,3.40840305784626
738,AZE,YR2005,3.58006875718703
739,AZE,YR2006,3.59340212503904
740,AZE,YR2007,3.21952384836796
741,AZE,YR2008,3.47440491133578
742,AZE,YR2009,2.84957053250929
743,AZE,YR2010,2.68511249642712
744,AZE,YR2011,2.97414762017826
745,AZE,YR2012,3.23916734726194
746,AZE,YR2013,3.28557436862051
747,AZE,YR2014,3.3815556221401
748,AZE,YR2015,3.29279481365619
749,AZE,YR2016,3.30395789547903
750,AZE,YR2017,3.24303764763118
751,AZE,YR2018,3.29264124897847
752,AZE,YR2019,3.54349533028946
753,AZE,YR2020,3.39884957289227
754,AZE,YR2021,
755,AZE,YR2022,
756,BDI,YR1960,
757,BDI,YR1961,
758,BDI,YR1962,
759,BDI,YR1963,
760,BDI,YR1964,
761,BDI,YR1965,
762,BDI,YR1966,
763,BDI,YR1967,
764,BDI,YR1968,
765,BDI,YR1969,
766,BDI,YR1970,
767,BDI,YR1971,
768,BDI,YR1972,
769,BDI,YR1973,
770,BDI,YR1974,
771,BDI,YR1975,
772,BDI,YR1976,
773,BDI,YR1977,
774,BDI,YR1978,
775,BDI,YR1979,
776,BDI,YR1980,
777,BDI,YR1981,
778,BDI,YR1982,
779,BDI,YR1983,
780,BDI,YR1984,
781,BDI,YR1985,
782,BDI,YR1986,
783,BDI,YR1987,
784,BDI,YR1988,
785,BDI,YR1989,
786,BDI,YR1990,0.0342098981489637
787,BDI,YR1991,0.0410379014332523
788,BDI,YR1992,0.0350334358624328
789,BDI,YR1993,0.0379102897815028
790,BDI,YR1994,0.0376986428488574
791,BDI,YR1995,0.036559570778166
792,BDI,YR1996,0.0376527672929144
793,BDI,YR1997,0.0381845492011799
794,BDI,YR1998,0.038523098947201
795,BDI,YR1999,0.0378306133478313
796,BDI,YR2000,0.0416319271539568
797,BDI,YR2001,0.0325098685701179
798,BDI,YR2002,0.032802230972826
799,BDI,YR2003,0.0249531909038623
800,BDI,YR2004,0.0224141689005934
801,BDI,YR2005,0.0217895175909076
802,BDI,YR2006,0.0250189666226615
803,BDI,YR2007,0.0241799187348301
804,BDI,YR2008,0.0240030664007927
805,BDI,YR2009,0.0227456280973839
806,BDI,YR2010,0.0354239062608714
807,BDI,YR2011,0.0379981118333185
808,BDI,YR2012,0.0371804176191894
809,BDI,YR2013,0.0361000266316517
810,BDI,YR2014,0.0347596973886301
811,BDI,YR2015,0.0341936179122354
812,BDI,YR2016,0.0405380853018533
813,BDI,YR2017,0.0474291236691765
814,BDI,YR2018,0.057850230113233
815,BDI,YR2019,0.0595713389942667
816,BDI,YR2020,0.0583840218352736
817,BDI,YR2021,
818,BDI,YR2022,
819,BEL,YR1960,
820,BEL,YR1961,
821,BEL,YR1962,
822,BEL,YR1963,
823,BEL,YR1964,
824,BEL,YR1965,
825,BEL,YR1966,
826,BEL,YR1967,
827,BEL,YR1968,
828,BEL,YR1969,
829,BEL,YR1970,
830,BEL,YR1971,
831,BEL,YR1972,
832,BEL,YR1973,
833,BEL,YR1974,
834,BEL,YR1975,
835,BEL,YR1976,
836,BEL,YR1977,
837,BEL,YR1978,
838,BEL,YR1979,
839,BEL,YR1980,
840,BEL,YR1981,
841,BEL,YR1982,
842,BEL,YR1983,
843,BEL,YR1984,
844,BEL,YR1985,
845,BEL,YR1986,
846,BEL,YR1987,
847,BEL,YR1988,
848,BEL,YR1989,
849,BEL,YR1990,10.9670355667222
850,BEL,YR1991,11.3909000422411
851,BEL,YR1992,11.182432371895
852,BEL,YR1993,10.918595167324
853,BEL,YR1994,11.3588285344927
854,BEL,YR1995,11.3022428848678
855,BEL,YR1996,11.7606250966732
856,BEL,YR1997,11.4558386523456
857,BEL,YR1998,11.7036858150067
858,BEL,YR1999,11.2956940254453
859,BEL,YR2000,11.4400292647238
860,BEL,YR2001,11.504301239383
861,BEL,YR2002,10.7280079862302
862,BEL,YR2003,11.1315169148275
863,BEL,YR2004,10.8770089098723
864,BEL,YR2005,10.5892027545238
865,BEL,YR2006,10.2466752332537
866,BEL,YR2007,9.77872516634198
867,BEL,YR2008,9.96411475547137
868,BEL,YR2009,9.25341219597882
869,BEL,YR2010,9.80881615729526
870,BEL,YR2011,8.74124771793825
871,BEL,YR2012,8.57803036878231
872,BEL,YR2013,8.65194718679944
873,BEL,YR2014,8.06155236787537
874,BEL,YR2015,8.43483650630165
875,BEL,YR2016,8.3106603919614
876,BEL,YR2017,8.13943859065518
877,BEL,YR2018,8.18436667928584
878,BEL,YR2019,8.09379074556662
879,BEL,YR2020,7.39813065774681
880,BEL,YR2021,
881,BEL,YR2022,
882,BEN,YR1960,
883,BEN,YR1961,
884,BEN,YR1962,
885,BEN,YR1963,
886,BEN,YR1964,
887,BEN,YR1965,
888,BEN,YR1966,
889,BEN,YR1967,
890,BEN,YR1968,
891,BEN,YR1969,
892,BEN,YR1970,
893,BEN,YR1971,
894,BEN,YR1972,
895,BEN,YR1973,
896,BEN,YR1974,
897,BEN,YR1975,
898,BEN,YR1976,
899,BEN,YR1977,
900,BEN,YR1978,
901,BEN,YR1979,
902,BEN,YR1980,
903,BEN,YR1981,
904,BEN,YR1982,
905,BEN,YR1983,
906,BEN,YR1984,
