,economy,time,NYGDPMKTPKDZ
792,YEM,2023,-0.5
793,YEM,2024,2.0
794,YEM,2025,
795,ZAF,2021,4.6999998
796,ZAF,2022,1.9
797,ZAF,2023,0.69999999
798,ZAF,2024,1.3
799,ZAF,2025,1.5
800,ZMB,2021,4.5999999
801,ZMB,2022,4.6999998
802,ZMB,2023,2.7
803,ZMB,2024,4.5999999
804,ZMB,2025,4.8000002
805,ZWE,2021,8.5
806,ZWE,2022,6.5
807,ZWE,2023,4.5
808,ZWE,2024,3.5
809,ZWE,2025,3.5
