,economy,time,EG.ELC.ACCS.ZS
743,AZE,YR2010,99.9476623535156
744,AZE,YR2011,99.9
745,AZE,YR2012,100.0
746,AZE,YR2013,100.0
747,AZE,YR2014,100.0
748,AZE,YR2015,100.0
749,AZE,YR2016,100.0
750,AZE,YR2017,100.0
751,AZE,YR2018,100.0
752,AZE,YR2019,100.0
753,AZE,YR2020,100.0
754,AZE,YR2021,100.0
755,AZE,YR2022,
756,BDI,YR1960,
757,BDI,YR1961,
758,BDI,YR1962,
759,BDI,YR1963,
760,BDI,YR1964,
761,BDI,YR1965,
762,BDI,YR1966,
763,BDI,YR1967,
764,BDI,YR1968,
765,BDI,YR1969,
766,BDI,YR1970,
767,BDI,YR1971,
768,BDI,YR1972,
769,BDI,YR1973,
770,BDI,YR1974,
771,BDI,YR1975,
772,BDI,YR1976,
773,BDI,YR1977,
774,BDI,YR1978,
775,BDI,YR1979,
776,BDI,YR1980,
777,BDI,YR1981,
778,BDI,YR1982,
779,BDI,YR1983,
780,BDI,YR1984,
781,BDI,YR1985,
782,BDI,YR1986,
783,BDI,YR1987,
784,BDI,YR1988,
785,BDI,YR1989,
786,BDI,YR1990,
787,BDI,YR1991,
788,BDI,YR1992,
789,BDI,YR1993,
790,BDI,YR1994,
791,BDI,YR1995,
792,BDI,YR1996,
793,BDI,YR1997,
794,BDI,YR1998,3.9
795,BDI,YR1999,2.07094931602478
796,BDI,YR2000,2.53827786445618
797,BDI,YR2001,2.83210754394531
798,BDI,YR2002,3.11739039421082
799,BDI,YR2003,3.40113353729248
800,BDI,YR2004,3.69034385681152
801,BDI,YR2005,3.20731707317073
802,BDI,YR2006,2.66
803,BDI,YR2007,4.65474510192871
804,BDI,YR2008,4.8
805,BDI,YR2009,5.38613891601563
806,BDI,YR2010,5.3
807,BDI,YR2011,6.15572309494019
808,BDI,YR2012,6.5
809,BDI,YR2013,6.9
810,BDI,YR2014,7.0
811,BDI,YR2015,7.89011478424072
812,BDI,YR2016,8.47799873352051
813,BDI,YR2017,9.3
814,BDI,YR2018,9.50929260253906
815,BDI,YR2019,9.83940029144287
816,BDI,YR2020,9.1
817,BDI,YR2021,10.2338275909424
818,BDI,YR2022,
819,BEL,YR1960,
820,BEL,YR1961,
821,BEL,YR1962,
822,BEL,YR1963,
823,BEL,YR1964,
824,BEL,YR1965,
825,BEL,YR1966,
826,BEL,YR1967,
827,BEL,YR1968,
828,BEL,YR1969,
829,BEL,YR1970,
830,BEL,YR1971,
831,BEL,YR1972,
832,BEL,YR1973,
833,BEL,YR1974,
834,BEL,YR1975,
835,BEL,YR1976,
836,BEL,YR1977,
837,BEL,YR1978,
838,BEL,YR1979,
839,BEL,YR1980,
840,BEL,YR1981,
841,BEL,YR1982,
842,BEL,YR1983,
843,BEL,YR1984,
844,BEL,YR1985,
845,BEL,YR1986,
846,BEL,YR1987,
847,BEL,YR1988,
848,BEL,YR1989,
849,BEL,YR1990,100.0
850,BEL,YR1991,100.0
851,BEL,YR1992,100.0
852,BEL,YR1993,100.0
853,BEL,YR1994,100.0
854,BEL,YR1995,100.0
855,BEL,YR1996,100.0
856,BEL,YR1997,100.0
857,BEL,YR1998,100.0
858,BEL,YR1999,100.0
859,BEL,YR2000,100.0
860,BEL,YR2001,100.0
861,BEL,YR2002,100.0
862,BEL,YR2003,100.0
863,BEL,YR2004,100.0
864,BEL,YR2005,100.0
865,BEL,YR2006,100.0
866,BEL,YR2007,100.0
867,BEL,YR2008,100.0
868,BEL,YR2009,100.0
869,BEL,YR2010,100.0
870,BEL,YR2011,100.0
871,BEL,YR2012,100.0
872,BEL,YR2013,100.0
873,BEL,YR2014,100.0
874,BEL,YR2015,100.0
875,BEL,YR2016,100.0
876,BEL,YR2017,100.0
877,BEL,YR2018,100.0
878,BEL,YR2019,100.0
879,BEL,YR2020,100.0
880,BEL,YR2021,100.0
881,BEL,YR2022,
882,BEN,YR1960,
883,BEN,YR1961,
884,BEN,YR1962,
885,BEN,YR1963,
886,BEN,YR1964,
887,BEN,YR1965,
888,BEN,YR1966,
889,BEN,YR1967,
890,BEN,YR1968,
891,BEN,YR1969,
892,BEN,YR1970,
893,BEN,YR1971,
894,BEN,YR1972,
895,BEN,YR1973,
896,BEN,YR1974,
897,BEN,YR1975,
898,BEN,YR1976,
899,BEN,YR1977,
900,BEN,YR1978,
901,BEN,YR1979,
902,BEN,YR1980,
903,BEN,YR1981,
904,BEN,YR1982,
905,BEN,YR1983,
906,BEN,YR1984,
907,BEN,YR1985,
908,BEN,YR1986,
909,BEN,YR1987,
910,BEN,YR1988,
911,BEN,YR1989,
912,BEN,YR1990,
913,BEN,YR1991,
914,BEN,YR1992,
915,BEN,YR1993,
916,BEN,YR1994,
917,BEN,YR1995,
918,BEN,YR1996,14.5
919,BEN,YR1997,18.5896263122559
920,BEN,YR1998,19.578254699707
921,BEN,YR1999,20.5620422363281
922,BEN,YR2000,21.534330368042
923,BEN,YR2001,21.9
924,BEN,YR2002,23.3589420318604
925,BEN,YR2003,24.2654361724854
926,BEN,YR2004,25.177396774292
927,BEN,YR2005,26.1018295288086
928,BEN,YR2006,27.9
929,BEN,YR2007,28.0100479125977
930,BEN,YR2008,28.9918003082275
931,BEN,YR2009,29.9869403839111
932,BEN,YR2010,34.2
933,BEN,YR2011,36.9
934,BEN,YR2012,38.4
935,BEN,YR2013,34.6536293029785
936,BEN,YR2014,34.1
937,BEN,YR2015,29.62
938,BEN,YR2016,37.0262756347656
939,BEN,YR2017,34.5
940,BEN,YR2018,39.0094223022461
941,BEN,YR2019,39.9980926513672
942,BEN,YR2020,40.9859313964844
943,BEN,YR2021,41.9736328125
944,BEN,YR2022,
945,BFA,YR1960,
946,BFA,YR1961,
947,BFA,YR1962,
948,BFA,YR1963,
949,BFA,YR1964,
950,BFA,YR1965,
951,BFA,YR1966,
952,BFA,YR1967,
953,BFA,YR1968,
954,BFA,YR1969,
955,BFA,YR1970,
956,BFA,YR1971,
957,BFA,YR1972,
958,BFA,YR1973,
959,BFA,YR1974,
960,BFA,YR1975,
961,BFA,YR1976,
962,BFA,YR1977,
963,BFA,YR1978,
964,BFA,YR1979,
965,BFA,YR1980,
966,BFA,YR1981,
967,BFA,YR1982,
968,BFA,YR1983,
969,BFA,YR1984,
970,BFA,YR1985,
971,BFA,YR1986,
972,BFA,YR1987,
973,BFA,YR1988,
974,BFA,YR1989,
975,BFA,YR1990,
976,BFA,YR1991,
977,BFA,YR1992,
978,BFA,YR1993,6.1
