,economy,time,CC.EST
828,BEL,YR1969,
829,BEL,YR1970,
830,BEL,YR1971,
831,BEL,YR1972,
832,BEL,YR1973,
833,BEL,YR1974,
834,BEL,YR1975,
835,BEL,YR1976,
836,BEL,YR1977,
837,BEL,YR1978,
838,BEL,YR1979,
839,BEL,YR1980,
840,BEL,YR1981,
841,BEL,YR1982,
842,BEL,YR1983,
843,BEL,YR1984,
844,BEL,YR1985,
845,BEL,YR1986,
846,BEL,YR1987,
847,BEL,YR1988,
848,BEL,YR1989,
849,BEL,YR1990,
850,BEL,YR1991,
851,BEL,YR1992,
852,BEL,YR1993,
853,BEL,YR1994,
854,BEL,YR1995,
855,BEL,YR1996,1.35965430736542
856,BEL,YR1997,
857,BEL,YR1998,1.31323409080505
858,BEL,YR1999,
859,BEL,YR2000,1.44685900211334
860,BEL,YR2001,
861,BEL,YR2002,1.45780158042908
862,BEL,YR2003,1.37511277198792
863,BEL,YR2004,1.36038255691528
864,BEL,YR2005,1.37716245651245
865,BEL,YR2006,1.30128657817841
866,BEL,YR2007,1.34741532802582
867,BEL,YR2008,1.36263751983643
868,BEL,YR2009,1.45200526714325
869,BEL,YR2010,1.47382998466492
870,BEL,YR2011,1.51992893218994
871,BEL,YR2012,1.55911040306091
872,BEL,YR2013,1.60430264472961
873,BEL,YR2014,1.51295030117035
874,BEL,YR2015,1.47469651699066
875,BEL,YR2016,1.53148806095123
876,BEL,YR2017,1.40388441085815
877,BEL,YR2018,1.42942035198212
878,BEL,YR2019,1.44899594783783
879,BEL,YR2020,1.44595634937286
880,BEL,YR2021,1.45552504062653
881,BEL,YR2022,1.49504864215851
882,BEN,YR1960,
883,BEN,YR1961,
884,BEN,YR1962,
885,BEN,YR1963,
886,BEN,YR1964,
887,BEN,YR1965,
888,BEN,YR1966,
889,BEN,YR1967,
890,BEN,YR1968,
891,BEN,YR1969,
892,BEN,YR1970,
893,BEN,YR1971,
894,BEN,YR1972,
895,BEN,YR1973,
896,BEN,YR1974,
897,BEN,YR1975,
898,BEN,YR1976,
899,BEN,YR1977,
900,BEN,YR1978,
901,BEN,YR1979,
902,BEN,YR1980,
903,BEN,YR1981,
904,BEN,YR1982,
905,BEN,YR1983,
906,BEN,YR1984,
907,BEN,YR1985,
908,BEN,YR1986,
909,BEN,YR1987,
910,BEN,YR1988,
911,BEN,YR1989,
912,BEN,YR1990,
913,BEN,YR1991,
914,BEN,YR1992,
915,BEN,YR1993,
916,BEN,YR1994,
917,BEN,YR1995,
918,BEN,YR1996,-0.548114895820618
919,BEN,YR1997,
920,BEN,YR1998,-0.649413108825684
921,BEN,YR1999,
922,BEN,YR2000,-0.700917899608612
923,BEN,YR2001,
924,BEN,YR2002,-0.795710146427155
925,BEN,YR2003,-0.577583432197571
926,BEN,YR2004,-0.563022553920746
927,BEN,YR2005,-0.871326267719269
928,BEN,YR2006,-0.58709591627121
929,BEN,YR2007,-0.470139265060425
930,BEN,YR2008,-0.514077365398407
931,BEN,YR2009,-0.627268314361572
932,BEN,YR2010,-0.665382146835327
933,BEN,YR2011,-0.605445802211761
934,BEN,YR2012,-0.857918381690979
935,BEN,YR2013,-0.745442807674408
936,BEN,YR2014,-0.669143795967102
937,BEN,YR2015,-0.563475012779236
938,BEN,YR2016,-0.529120028018951
939,BEN,YR2017,-0.577509105205536
940,BEN,YR2018,-0.391388416290283
941,BEN,YR2019,-0.330108225345612
942,BEN,YR2020,-0.040327787399292
943,BEN,YR2021,-0.170943543314934
944,BEN,YR2022,-0.124255605041981
945,BFA,YR1960,
946,BFA,YR1961,
947,BFA,YR1962,
948,BFA,YR1963,
949,BFA,YR1964,
950,BFA,YR1965,
951,BFA,YR1966,
952,BFA,YR1967,
953,BFA,YR1968,
