,economy,time,ID.OWN.BRTH.ZS
999,HND,YR2013,
1000,HND,YR2014,
1001,HND,YR2015,
1002,HND,YR2016,
1003,HND,YR2017,
1004,HND,YR2018,
1005,HND,YR2019,92.2
1006,HND,YR2020,
1007,HND,YR2021,
1008,HRV,YR2006,
1009,HRV,YR2007,
1010,HRV,YR2008,
1011,HRV,YR2009,
1012,HRV,YR2010,
1013,HRV,YR2011,
1014,HRV,YR2012,
1015,HRV,YR2013,
1016,HRV,YR2014,
1017,HRV,YR2015,
1018,HRV,YR2016,
1019,HRV,YR2017,
1020,HRV,YR2018,
1021,HRV,YR2019,
1022,HRV,YR2020,
1023,HRV,YR2021,
1024,HTI,YR2006,
1025,HTI,YR2007,
1026,HTI,YR2008,
1027,HTI,YR2009,
1028,HTI,YR2010,
1029,HTI,YR2011,
1030,HTI,YR2012,
1031,HTI,YR2013,
1032,HTI,YR2014,
1033,HTI,YR2015,
1034,HTI,YR2016,
1035,HTI,YR2017,77.0
1036,HTI,YR2018,
1037,HTI,YR2019,
1038,HTI,YR2020,
1039,HTI,YR2021,
1040,HUN,YR2006,
1041,HUN,YR2007,
1042,HUN,YR2008,
1043,HUN,YR2009,
1044,HUN,YR2010,
1045,HUN,YR2011,
1046,HUN,YR2012,
1047,HUN,YR2013,
1048,HUN,YR2014,
1049,HUN,YR2015,
1050,HUN,YR2016,
1051,HUN,YR2017,
1052,HUN,YR2018,
1053,HUN,YR2019,
1054,HUN,YR2020,100.0
1055,HUN,YR2021,
1056,IDN,YR2006,
1057,IDN,YR2007,
1058,IDN,YR2008,
1059,IDN,YR2009,
1060,IDN,YR2010,
1061,IDN,YR2011,
1062,IDN,YR2012,
1063,IDN,YR2013,
1064,IDN,YR2014,
1065,IDN,YR2015,
1066,IDN,YR2016,
1067,IDN,YR2017,
1068,IDN,YR2018,
1069,IDN,YR2019,
1070,IDN,YR2020,
1071,IDN,YR2021,77.0
1072,IND,YR2006,
1073,IND,YR2007,
1074,IND,YR2008,
1075,IND,YR2009,
1076,IND,YR2010,
1077,IND,YR2011,
1078,IND,YR2012,
1079,IND,YR2013,
1080,IND,YR2014,
1081,IND,YR2015,
1082,IND,YR2016,
1083,IND,YR2017,
1084,IND,YR2018,
1085,IND,YR2019,
1086,IND,YR2020,
1087,IND,YR2021,74.9
1088,IRL,YR2006,
1089,IRL,YR2007,
1090,IRL,YR2008,
1091,IRL,YR2009,
1092,IRL,YR2010,
1093,IRL,YR2011,
1094,IRL,YR2012,
1095,IRL,YR2013,
1096,IRL,YR2014,
1097,IRL,YR2015,
1098,IRL,YR2016,
1099,IRL,YR2017,
1100,IRL,YR2018,
1101,IRL,YR2019,
1102,IRL,YR2020,100.0
1103,IRL,YR2021,
1104,IRN,YR2006,
1105,IRN,YR2007,
1106,IRN,YR2008,
1107,IRN,YR2009,
1108,IRN,YR2010,
1109,IRN,YR2011,
1110,IRN,YR2012,
1111,IRN,YR2013,
1112,IRN,YR2014,
1113,IRN,YR2015,
1114,IRN,YR2016,
1115,IRN,YR2017,
1116,IRN,YR2018,
1117,IRN,YR2019,
1118,IRN,YR2020,
1119,IRN,YR2021,
1120,IRQ,YR2006,
1121,IRQ,YR2007,
1122,IRQ,YR2008,
1123,IRQ,YR2009,
1124,IRQ,YR2010,
1125,IRQ,YR2011,
1126,IRQ,YR2012,
