"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
Austria,4475146,9831,18805,7,4345393,8890,110948,56,491260,2064,190970223,20963778,9109533,2022-07-05
Israel,4404223,12939,10984,,4322381,58010,70858,310,472252,1178,41373364,4436346,9326000,2022-07-05
Belgium,4265296,,31952,,4130552,2472,102792,70,364841,2733,34555871,2955805,11690848,2022-07-05
Chile,4035379,5112,58631,14,3690002,8795,286746,174,207522,3015,40744116,2095293,19445547,2022-07-05
South Africa,3995784,384,101847,32,3885593,1139,8344,192,65710,1675,25776312,423886,60809567,2022-07-05
Canada,3952733,2124,42042,24,3562133,,348558,195,102919,1095,62586673,1629593,38406332,2022-07-05
Czechia,3936872,1297,40324,,3889846,698,6702,13,366260,3751,55559357,5168866,10748849,2022-07-05
Taiwan,3929611,35999,7128,103,3065319,68808,857164,,164396,298,21319860,891922,23903279,2022-07-05
Switzerland,3787749,7152,13997,,3651949,2775,121803,56,431325,1594,21468590,2444710,8781651,2022-07-05
Greece,3755074,25875,30349,22,3553199,10449,171526,98,363831,2941,85973378,8330012,10320919,2022-07-05
Philippines,3710070,757,60610,8,3639503,813,9957,443,32976,539,30878577,274456,112508493,2022-07-05
Peru,3644199,4138,213593,14,3392035,2459,38571,146,107518,6302,31689024,934952,33893739,2022-07-05
Denmark,3021545,2281,6494,7,2994867,1805,20184,9,517997,1113,127718284,21895304,5833136,2022-07-05
Romania,2927187,,65755,,2847123,,14309,52,154223,3464,23542696,1240377,18980269,2022-07-05
Sweden,2519199,,19091,,2490785,146,9323,13,246361,1867,18669741,1825775,10225652,2022-07-05
Iraq,2364453,4698,25247,,2314078,1426,25128,26,56251,601,18824094,447830,42033999,2022-07-05
Serbia,2034544,1364,16135,3,2005794,659,12615,10,234752,1862,9939128,1146809,8666765,2022-07-05
Bangladesh,1982972,1998,29181,7,1909273,494,44518,2504,11805,174,14406751,85763,167982575,2022-07-05
Hungary,1928125,,46647,,1871930,,9548,5,200614,4853,11394556,1185558,9611136,2022-07-05
Slovakia,1798131,667,20152,1,1772549,319,5430,5,329030,3688,7182254,1314240,5464949,2022-07-05
Jordan,1700526,,14068,,1685354,,1104,124,163411,1352,16894012,1623420,10406436,2022-07-05
Georgia,1662299,,16844,,1637293,,8162,,418314,4239,16920079,4257905,3973804,2022-07-05
Ireland,1600614,,7467,,1558545,135,34602,32,317048,1479,12420810,2460301,5048493,2022-07-05
Pakistan,1539275,653,30403,,1500046,,8826,162,6707,132,29064686,126643,229500920,2022-07-05
Singapore,1485964,12784,1421,2,1386989,7876,97554,16,250049,239,24098157,4055094,5942688,2022-07-05
Norway,1449207,528,3415,11,1436414,95,9378,20,263190,620,11002430,1998145,5506322,2022-07-05
New Zealand,1374535,9802,1534,22,1320973,8333,52028,,274792,307,7300050,1459397,5002100,2022-07-05
Kazakhstan,1307330,158,13663,,1292535,57,1132,24,67993,711,11575012,602003,19227502,2022-07-05
Hong Kong,1256279,2268,9405,,1202965,275,43909,1,164886,1234,50415048,6616967,7619057,2022-07-05
Morocco,1230095,3849,16131,11,1188619,2703,25345,293,32552,427,11992403,317354,37788673,2022-07-05
Bulgaria,1175082,866,37261,1,1098849,13442,38972,33,171707,5445,10125695,1479601,6843529,2022-07-05
Croatia,1152335,812,16089,7,1130556,613,5690,11,284213,3968,4952840,1221571,4054483,2022-07-05
Finland,1145610,,4875,,1109698,9362,31037,21,206119,877,11073562,1992367,5557992,2022-07-05
Lebanon,1117540,742,10470,1,1087587,,19483,186,165216,1548,4795578,708972,6764127,2022-07-05
Cuba,1106203,36,8529,,1097437,25,237,23,97784,754,13852049,1224464,11312744,2022-07-05
Lithuania,1069225,547,9176,,1038300,,21749,6,404071,3468,10013417,3784176,2646129,2022-07-05
Tunisia,1066127,1995,28748,8,,,,29,88352,2382,4704138,389840,12066833,2022-07-05
Slovenia,1043268,1842,6655,,1024594,153,12019,12,501689,3200,2686203,1291747,2079511,2022-07-05
Belarus,994037,,7118,,985592,,1327,,105266,754,13646641,1445146,9443086,2022-07-05
Nepal,979908,73,11952,,967555,20,401,,32460,396,5765719,190990,30188634,2022-07-05
Uruguay,962251,,7351,,951293,,3607,18,275095,2102,6114822,1748146,3497890,2022-07-05
UAE,954692,1732,2319,,935026,1769,17347,,94242,229,171338389,16913538,10130251,2022-07-05
Bolivia,931955,1782,21958,,887095,1140,22902,220,77711,1831,2705422,225591,11992616,2022-07-05
Mongolia,928981,,2179,,,,,192,274501,644,4030048,1190824,3384252,2022-07-05
Panama,925254,,8373,,903344,,13537,16,207871,1881,6597121,1482134,4451096,2022-07-05
Guatemala,922340,1194,18628,12,861418,1773,42294,5,49640,1003,4959692,266927,18580729,2022-07-05
Ecuador,915679,1740,35747,2,862724,1966,17208,759,50365,1966,2470170,135867,18180780,2022-07-05
Costa Rica,904934,,8525,,860711,,35698,52,174446,1643,4659757,898270,5187482,2022-07-05
Latvia,837872,690,5862,2,826634,312,5376,10,454284,3178,7334084,3976454,1844378,2022-07-05
Saudi Arabia,797940,566,9212,1,781314,782,7414,143,22225,257,43508509,1211866,35902087,2022-07-05
Azerbaijan,793388,,9717,,783453,,218,,76859,941,6972527,675462,10322603,2022-07-05
Sri Lanka,664194,13,16523,1,647418,377,253,,30759,765,6486117,300375,21593434,2022-07-05
Paraguay,660841,,18994,,624673,,17174,6,90422,2599,2646163,362072,7308390,2022-07-05
Kuwait,646098,,2556,,639011,,4531,6,146929,581,8223642,1870141,4397337,2022-07-05
Bahrain,633348,1786,1498,3,619023,1703,12827,15,347941,823,10053122,5522868,1820272,2022-07-05
Myanmar,613672,13,19434,,592593,3,1645,,11129,352,8396188,152265,55141866,2022-07-05
Dominican Republic,612548,967,4383,,603501,676,4664,32,55353,396,3512720,317426,11066251,2022-07-05
Palestine,586058,,5358,,578920,,1780,17,109761,1003,3078533,576567,5339420,2022-07-05
Estonia,581457,1346,2599,8,522921,656,55937,6,437737,1957,3415922,2571601,1328325,2022-07-05
Venezuela,527241,167,5737,2,519206,153,2298,36,18647,203,3359014,118801,28274292,2022-07-05
Moldova,520321,,11567,,504142,,4612,49,129589,2881,3216305,801042,4015152,2022-07-05
Egypt,515645,,24613,,442182,,48850,122,4855,232,3693367,34775,106208306,2022-07-05
Cyprus,504717,,1072,,124370,,379275,60,412014,875,9477138,7736445,1224999,2022-07-05
Libya,502189,51,6430,,490973,,4786,101,71143,911,2477219,350939,7058833,2022-07-05
Ethiopia,489656,154,7544,2,464803,205,17309,51,4058,63,5071595,42026,120678722,2022-07-05
Honduras,427718,,10906,,132498,,284314,105,41848,1067,1404069,137374,10220788,2022-07-05
Armenia,423417,,8629,,412661,,2127,,142356,2901,3109931,1045581,2974357,2022-07-05
Réunion,422769,,812,,418572,,3385,10,465535,894,1603660,1765881,908136,2022-07-05
Oman,390244,,4260,,384669,,1315,2,72708,794,25000000,4657855,5367277,2022-07-05
Qatar,385830,667,679,,380105,666,5046,1,137413,242,3665059,1305311,2807805,2022-07-05
Bosnia and Herzegovina,379132,91,15808,1,,,,,117020,4879,1794808,553973,3239883,2022-07-05
Kenya,334800,249,5657,1,325686,248,3457,5,5963,101,3769558,67136,56148466,2022-07-05
Zambia,326259,,4007,,321153,,1099,1,16803,206,3560233,183354,19417225,2022-07-05
Botswana,322769,,2750,,315668,,4351,1,131908,1124,2026898,828345,2446925,2022-07-05
North Macedonia,314794,293,9327,,304341,102,1126,,151111,4477,2075244,996180,2083202,2022-07-05
Albania,282837,147,3504,2,275693,441,3640,,98498,1220,1854161,645713,2871492,2022-07-05
Algeria,266173,,6875,,178592,,80706,6,5858,151,230861,5081,45440332,2022-07-05
Luxembourg,263167,,1094,,251249,,10824,,407115,1692,4307055,6662946,646419,2022-07-05
Nigeria,257637,,3144,,250287,,4206,11,1191,15,5279608,24398,216393516,2022-07-05
Zimbabwe,255805,50,5560,2,249305,227,940,12,16722,363,2402898,157081,15297193,2022-07-05
Montenegro,241623,433,2729,,236804,216,2090,6,384612,4344,2501811,3982342,628226,2022-07-05
Uzbekistan,241196,74,1637,,238292,62,1267,23,7003,48,1377915,40006,34442784,2022-07-05
Mozambique,228317,91,2213,1,225626,,478,11,6916,67,1351984,40953,33012821,2022-07-05
Laos,210324,11,757,,,,,,28090,101,1233207,164703,7487464,2022-07-05
Martinique,201211,,971,,104,,200136,8,537019,2592,828928,2212357,374681,2022-07-05
Kyrgyzstan,201053,,2991,,196406,,1656,131,29829,444,1907195,282957,6740239,2022-07-05
Iceland,196527,420,179,,,,,1,568510,518,1969022,5695951,345688,2022-07-05
Afghanistan,182906,113,7725,,164850,25,10331,1124,4495,190,1006903,24747,40687901,2022-07-05
Maldives,182720,,306,,163687,,18727,25,326489,547,2213831,3955728,559652,2022-07-05
Guadeloupe,171431,2717,957,2,2250,,168224,19,428298,2391,938039,2343568,400261,2022-07-05
El Salvador,169646,,4152,2,159993,,5501,8,25893,634,2284873,348735,6551887,2022-07-05
Namibia,169253,6,4065,,164813,14,375,,64275,1544,1062663,403554,2633262,2022-07-05
Uganda,167979,,3621,,100412,,63946,14,3454,74,2775992,57072,48640016,2022-07-05
Brunei,167669,1003,225,,164116,,3328,,376035,505,717784,1609789,445887,2022-07-05
Trinidad and Tobago,167585,90,4016,3,157259,155,6310,18,118974,2851,774852,550093,1408583,2022-07-05
Ghana,166546,,1452,,163611,,1483,3,5144,45,2477500,76526,32374732,2022-07-05
Jamaica,143408,61,3145,1,91284,77,48979,,48009,1053,1132736,379209,2987106,2022-07-05
Cambodia,136301,3,3056,,133206,,39,,7932,178,2994623,174274,17183381,2022-07-05
Rwanda,131347,77,1461,1,45522,,84364,,9660,107,5576833,410164,13596590,2022-07-05
Cameroon,120068,,1931,,117791,,346,13,4308,69,1751774,62851,27872033,2022-07-05
Malta,106068,661,751,3,97140,251,8177,4,238944,1692,1975827,4451033,443903,2022-07-05
Angola,99761,,1900,,97149,,712,,2857,54,1499795,42952,34918020,2022-07-05
DRC,91393,,1375,,50930,,39088,,962,14,846704,8910,95025806,2022-07-05
French Guiana,88362,,401,,11254,,76707,1,281212,1276,644972,2052619,314219,2022-07-05
Malawi,86626,26,2646,,83234,32,746,67,4305,131,594188,29529,20122030,2022-07-05
Senegal,86399,17,1968,,84387,11,44,,4901,112,1117068,63364,17629463,2022-07-05
Barbados,85121,202,477,,83287,289,1357,,295476,1656,707799,2456944,288081,2022-07-05
Ivory Coast,83729,50,805,,82469,73,455,,3024,29,1554887,56155,27689222,2022-07-05
Channel Islands,81987,997,180,1,79059,476,2748,,462997,1016,1252808,7074854,177079,2022-07-05
Suriname,80890,26,1376,7,49587,12,29927,,135453,2304,238136,398766,597182,2022-07-05
French Polynesia,73386,,649,,,,,7,258250,2284,,,284167,2022-07-05
Eswatini,73155,7,1416,,71655,2,84,11,61772,1196,1037077,875707,1184274,2022-07-05
Guyana,67699,42,1256,,65583,53,860,,85245,1582,662354,834021,794169,2022-07-05
Fiji,65889,,866,,63849,,1174,,72447,952,572354,629318,909483,2022-07-05
Madagascar,65787,,1401,,63540,,846,6,2259,48,471434,16190,29119714,2022-07-05
New Caledonia,65271,1050,313,,63505,663,1453,9,224294,1076,98964,340074,291007,2022-07-05
Belize,64581,210,680,,63086,210,815,6,156706,1650,576016,1397704,412116,2022-07-05
Sudan,62704,8,4952,,,,,,1366,108,562941,12263,45904028,2022-07-05
Cabo Verde,61158,53,405,,59722,,1031,23,107652,713,401416,706584,568108,2022-07-05
Mauritania,60489,121,984,,58365,24,1140,,12357,201,874144,178581,4894939,2022-07-05
Bhutan,59824,,21,,59730,,73,,75855,27,2303734,2921070,788661,2022-07-05
Syria,55937,3,3150,,52763,1,24,,3048,172,146269,7969,18353884,2022-07-05
Gabon,47939,,305,,47353,,281,,20565,131,1602857,687586,2331137,2022-07-05
Seychelles,44847,,167,,44512,,168,,450411,1677,,,99569,2022-07-05
Papua New Guinea,44732,4,662,,43982,,88,7,4817,71,249149,26827,9287185,2022-07-05
Curaçao,44545,,278,,44122,,145,3,269252,1680,496693,3002255,165440,2022-07-05
Andorra,44177,,153,,43448,,576,14,569930,1974,249838,3223175,77513,2022-07-05
Burundi,42794,63,38,,,,,,3396,3,345742,27437,12601504,2022-07-05
Aruba,41000,,222,,40451,,327,1,380772,2062,177885,1652039,107676,2022-07-05
Mauritius,38650,,1004,,36805,,841,,30290,787,358675,281093,1276003,2022-07-05
Mayotte,37958,,187,,2964,,34807,,132708,654,176919,618542,286026,2022-07-05
Togo,37493,11,275,,37058,,160,,4325,32,755281,87133,8668138,2022-07-05
Guinea,36597,,442,,36113,,42,8,2643,32,660107,47669,13847702,2022-07-05
Isle of Man,36463,,108,,26794,,9561,,424304,1257,150753,1754247,85936,2022-07-05
Bahamas,36114,13,820,,34553,52,741,,90108,2046,241422,602371,400786,2022-07-05
Tanzania,35768,,841,,,,,7,566,13,,,63148823,2022-07-05
Faeroe Islands,34658,,28,,,,,5,703930,569,778000,15801767,49235,2022-07-05
Lesotho,33938,,699,,24155,,9084,,15594,321,431221,198141,2176333,2022-07-05
Haiti,31677,,837,,29868,,972,,2712,72,132422,11336,11681526,2022-07-05
Mali,31176,,737,,30342,4,97,,1455,34,703376,32835,21421422,2022-07-05
Cayman Islands,27594,,29,,8553,,19012,1,410192,431,222773,3311576,67271,2022-07-05
Benin,27216,,163,,25506,,1547,5,2133,13,604310,47358,12760479,2022-07-05
Saint Lucia,27133,39,385,2,26559,,189,,146419,2078,209716,1131698,185311,2022-07-05
Somalia,26803,,1350,,13182,,12271,,1597,80,400466,23861,16783099,2022-07-05
Congo,24128,,385,,20178,,3565,,4167,66,347815,60065,5790676,2022-07-05
Timor-Leste,22961,4,133,,22815,6,13,,16774,97,270339,197494,1368846,2022-07-05
Solomon Islands,21237,,149,,16357,,4731,1,29468,207,5117,7100,720690,2022-07-05
Burkina Faso,20853,,382,,20439,,32,,946,17,248995,11290,22053606,2022-07-05
Gibraltar,19633,,104,,16579,,2950,,583083,3089,534283,15867750,33671,2022-07-05
Nicaragua,18491,,225,,4225,,14041,,2726,33,,,6782748,2022-07-05
Grenada,18475,99,232,,18050,60,193,4,162676,2043,171533,1510386,113569,2022-07-05
San Marino,18361,125,115,,17708,106,538,4,538857,3375,152231,4467659,34074,2022-07-05
Liechtenstein,18032,39,85,,17780,35,167,,470220,2217,102174,2664389,38348,2022-07-05
Tajikistan,17786,,125,,17264,,397,,1784,13,,,9967589,2022-07-05
South Sudan,17733,11,138,,15630,,1965,1,1548,12,410280,35810,11457134,2022-07-05
Equatorial Guinea,16191,77,183,,15763,9,245,5,10827,122,341502,228355,1495487,2022-07-05
Bermuda,16162,,140,,15793,,229,,261453,2265,950858,15382069,61816,2022-07-05
Djibouti,15690,,189,,15427,,74,,15430,186,305941,300875,1016838,2022-07-05
Samoa,14995,,29,,1605,,13361,4,74580,144,160411,797827,201060,2022-07-05
Dominica,14852,,68,,14554,,230,,205294,940,210195,2905453,72345,2022-07-05
CAR,14649,,113,,6859,,7677,2,2931,23,81294,16264,4998310,2022-07-05
Monaco,13197,58,57,,12932,131,208,4,331583,1432,77770,1954020,39800,2022-07-05
Tonga,12301,,12,,12120,,169,,113794,111,535009,4949250,108099,2022-07-05
Gambia,12002,,365,,11591,,46,,4701,143,155686,60983,2552923,2022-07-05
Greenland,11971,,21,,2761,,9189,4,210136,369,164926,2895064,56968,2022-07-05
Yemen,11832,,2149,,9108,,575,23,380,69,265253,8517,31144359,2022-07-05
Vanuatu,11447,22,14,,11274,76,159,,35599,44,24976,77674,321550,2022-07-05
Saint Martin,10668,,63,,1399,,9206,7,266773,1575,112382,2810323,39989,2022-07-05
Sint Maarten,10601,,87,,10495,,19,10,241739,1984,62056,1415091,43853,2022-07-05
Caribbean Netherlands,10478,78,35,,10365,92,78,,392258,1310,30126,1127808,26712,2022-07-05
Eritrea,9810,5,103,,9691,,16,,2691,28,23693,6500,3644938,2022-07-05
Niger,9031,,310,,8628,,93,1,348,12,254538,9803,25965134,2022-07-05
Antigua and Barbuda,8665,,141,,8486,,38,1,87036,1416,18901,189853,99556,2022-07-05
Guinea-Bissau,8369,,171,,8124,,74,6,4060,83,144183,69946,2061353,2022-07-05
Comoros,8161,22,160,,7933,,68,,9000,176,,,906779,2022-07-05
Sierra Leone,7704,,125,,,,,,928,15,259958,31311,8302563,2022-07-05
Liberia,7500,3,294,,5747,,1459,2,1416,56,139824,26401,5296259,2022-07-05
Chad,7426,,193,,4874,,2359,,427,11,191341,11014,17371791,2022-07-05
St. Vincent Grenadines,7023,,114,,6641,,268,,62904,1021,100269,898090,111647,2022-07-05
British Virgin Islands,6941,,63,,,,,1,226571,2056,104909,3424482,30635,2022-07-05
Turks and Caicos,6234,15,36,,6141,10,57,4,156759,905,548537,13793427,39768,2022-07-05
Saint Kitts and Nevis,6193,36,43,,5927,26,223,,114783,797,100854,1869259,53954,2022-07-05
Sao Tome and Principe,6064,,74,,5970,,20,,26675,326,29036,127728,227327,2022-07-05
Cook Islands,5774,,1,,5764,,9,,328143,57,19618,1114912,17596,2022-07-05
Palau,5269,32,6,,4630,51,633,1,288444,328,61019,3340395,18267,2022-07-05
Nauru,4904,254,1,,741,272,4162,,447404,91,12164,1109753,10961,2022-07-05
St. Barth,4630,,6,,,,,,465935,604,78646,7914461,9937,2022-07-05
Anguilla,3476,,9,,3446,,21,4,227606,589,51382,3364458,15272,2022-07-05
Kiribati,3236,,13,,2665,,558,3,26282,106,,,123127,2022-07-05
Saint Pierre Miquelon,2779,,1,,2449,,329,1,484400,174,24116,4203591,5737,2022-07-05
Falkland Islands,1815,,,,,,,,492805,,8632,2343742,3683,2022-07-05
Montserrat,1020,,8,,1008,,4,,204082,1601,14093,2819728,4998,2022-07-05
Macao,461,26,2,,83,,376,,691,3,6832,10241,667101,2022-07-05
Wallis and Futuna,456,2,7,,438,,11,,42051,646,20508,1891184,10844,2022-07-05
Micronesia,38,,,,33,,5,,324,,21923,186669,117443,2022-07-05
Marshall Islands,32,,,,18,,14,,533,,,,59992,2022-07-05
Niue,20,,,,10,,10,,12136,,,,1648,2022-07-05
China,226176,141,5226,,220226,27,724,,157,4,160000000,111163,1439323776,2022-07-06
USA,89973693,99952,1044760,347,85527762,117473,3401171,3572,,,1054966042,,,2022-07-06
India,43568884,21075,525305,35,42921977,14650,121602,698,30960,373,864451219,614274,1407273210,2022-07-06
Brazil,32687680,76850,672829,335,31077538,38483,937313,8318,151615,3121,63776166,295813,215596091,2022-07-06
France,31813342,154615,149854,53,29879052,53006,1784436,869,485228,2286,271490188,4140858,65563751,2022-07-06
Germany,28808614,135402,141627,108,26978400,,1688587,1062,341649,1680,122332384,1450771,84322303,2022-07-06
UK,22883995,28496,180718,61,22215864,12765,487413,146,333573,2634,522526476,7616707,68602673,2022-07-06
Italy,19049934,108932,168770,72,17733984,51183,1147180,325,316007,2800,228775690,3795016,60283200,2022-07-06
Russia,18448451,3150,381398,44,17877013,3437,190040,2300,126307,2611,273400000,1871831,146060197,2022-07-06
S. Korea,18433359,19362,24583,7,18245905,6836,162871,61,358920,479,15804065,307724,51357844,2022-07-06
Turkey,15180444,,99057,,15035727,,45660,975,176183,1150,162743369,1888783,86163073,2022-07-06
Spain,12890002,,108259,,12294986,,486757,339,275479,2314,471036328,10066779,46791166,2022-07-06
Vietnam,10751227,913,43089,,9732548,7626,975590,30,108490,435,85826548,866070,99098807,2022-07-06
Japan,9451806,32906,31348,16,9210161,14838,210297,68,75194,249,57071806,454037,125698615,2022-07-06
Argentina,9394326,,129109,,9188350,4006,76867,410,204094,2805,35716069,775942,46029304,2022-07-06
Australia,8334802,43457,10131,45,8042665,30104,282006,138,319408,388,74407768,2851469,26094537,2022-07-06
Netherlands,8217070,6422,22396,4,8071500,968,123174,45,477430,1301,21107399,1226386,17211058,2022-07-06
Iran,7242919,1271,141413,5,7063846,194,37660,273,84070,1641,52298398,607036,86153707,2022-07-06
Colombia,6195467,3381,140182,20,6004688,3357,50597,342,119206,2697,35539516,683808,51972921,2022-07-06
Mexico,6121808,27973,325868,75,5260154,16177,535786,4798,46499,2475,16701977,126861,131655344,2022-07-06
Indonesia,6100671,2743,156770,4,5925853,2045,18048,2771,21840,561,101250215,362466,279336795,2022-07-06
Poland,6018565,964,116440,3,5335695,3,566430,408,159376,3083,36500587,966562,37763328,2022-07-06
Portugal,5225205,10504,24253,17,4866533,22382,334419,61,515460,2393,43527258,4293908,10136979,2022-07-06
Ukraine,5018019,,108656,,4906881,76,2482,177,116142,2515,19521252,451818,43205992,2022-07-06
DPRK,4759770,2150,74,1,4755690,2770,4006,,183027,3,,,26005852,2022-07-06
Malaysia,4582302,3561,35792,5,4514970,2035,31540,40,138023,1078,61244742,1844751,33199465,2022-07-06
Thailand,4536445,2428,30761,22,4480895,2049,24789,1496,64666,438,17270775,246191,70151935,2022-07-06
Austria,4487675,12529,18816,11,4354923,9530,113936,58,492627,2065,191082248,20975753,9109673,2022-07-06
